Month,passengers
2006-01,112
2006-02,118
2006-03,132
2006-04,129
2006-05,121
2006-06,135
2006-07,148
2006-08,148
2006-09,136
2006-10,119
2006-11,104
2006-12,118
2007-01,115
2007-02,126
2007-03,141
2007-04,135
2007-05,125
2007-06,149
2007-07,170
2007-08,170
2007-09,158
2007-10,133
2007-11,114
2007-12,140
2008-01,145
2008-02,150
2008-03,178
2008-04,163
2008-05,172
2008-06,178
2008-07,199
2008-08,199
2008-09,184
2008-10,162
2008-11,146
2008-12,166
2009-01,171
2009-02,180
2009-03,193
2009-04,181
2009-05,183
2009-06,218
2009-07,230
2009-08,242
2009-09,209
2009-10,191
2009-11,172
2009-12,194
2010-01,196
2010-02,196
2010-03,236
2010-04,235
2010-05,229
2010-06,243
2010-07,264
2010-08,272
2010-09,237
2010-10,211
2010-11,180
2010-12,201
2011-01,204
2011-02,188
2011-03,235
2011-04,227
2011-05,234
2011-06,264
2011-07,302
2011-08,293
2011-09,259
2011-10,229
2011-11,203
2011-12,229
2012-01,242
2012-02,233
2012-03,267
2012-04,269
2012-05,270
2012-06,315
2012-07,364
2012-08,347
2012-09,312
2012-10,274
2012-11,237
2012-12,278
2013-01,284
2013-02,277
2013-03,317
2013-04,313
2013-05,318
2013-06,374
2013-07,413
2013-08,405
2013-09,355
2013-10,306
2013-11,271
2013-12,306
2014-01,315
2014-02,301
2014-03,356
2014-04,348
2014-05,355
2014-06,422
2014-07,465
2014-08,467
2014-09,404
2014-10,347
2014-11,305
2014-12,336
2015-01,340
2015-02,318
2015-03,362
2015-04,348
2015-05,363
2015-06,435
2015-07,491
2015-08,505
2015-09,404
2015-10,359
2015-11,310
2015-12,337
2016-01,360
2016-02,342
2016-03,406
2016-04,396
2016-05,420
2016-06,472
2016-07,548
2016-08,559
2016-09,463
2016-10,407
2016-11,362
2016-12,405
2017-01,417
2017-02,391
2017-03,419
2017-04,461
2017-05,472
2017-06,535
2017-07,622
2017-08,606
2017-09,508
2017-10,461
2017-11,390
2017-12,432
